 inst#     actual  predicted error distribution (ID)
   146        2:1        2:1       0,*1,0 (8272)
   147        2:1        2:1       0,*1,0 (13407)
   148        2:1        2:1       0,*1,0 (19100)
   149        2:1        2:1       0,*1,0 (13315)
   150        2:1        2:1       0,*1,0 (6792)
   151        2:1        2:1       0,*1,0 (14378)
   152        2:1        2:1       0.1,*0.6,0.3 (4307)
   153        2:1        2:1       0,*0.9,0.1 (12425)
   154        2:1        2:1       0,*1,0 (6370)
   155        2:1        2:1       0,*0.9,0.1 (17126)
   156        2:1        2:1       0,*0.9,0.1 (6202)
   157        2:1        2:1       0.1,*0.8,0.1 (8714)
   158        2:1        2:1       0,*1,0 (2715)
   159        2:1        2:1       0.1,*0.9,0 (16702)
   160        2:1        2:1       0,*0.9,0.1 (6597)
   161        2:1        2:1       0,*0.9,0.1 (14368)
   162        2:1        2:1       0,*0.8,0.2 (20070)
   163        2:1        2:1       0.1,*0.7,0.2 (17832)
   164        2:1        2:1       0.1,*0.9,0 (2967)
   165        2:1        1:2   +   *0.6,0.2,0.2 (19024)
   166        2:1        2:1       0.1,*0.6,0.3 (16361)
   167        2:1        2:1       0,*1,0 (6685)
   168        2:1        2:1       0.2,*0.5,0.3 (17417)
   169        2:1        2:1       0,*0.9,0.1 (8958)
   170        2:1        2:1       0.1,*0.9,0 (17409)
   171        2:1        2:1       0,*0.9,0.1 (5769)
   172        2:1        2:1       0,*1,0 (12071)
   173        2:1        2:1       0,*1,0 (5338)
   174        2:1        2:1       0.1,*0.7,0.2 (362)
   175        2:1        2:1       0,*1,0 (10781)
   176        2:1        2:1       0,*1,0 (13992)
   177        2:1        2:1       0.1,*0.9,0 (3083)
   178        2:1        2:1       0,*0.9,0.1 (5194)
   179        2:1        2:1       0.2,*0.8,0 (13171)
   180        2:1        2:1       0.3,*0.6,0.1 (2090)
   181        2:1        2:1       0.4,*0.6,0 (10580)
   182        2:1        2:1       0,*1,0 (4289)
   183        2:1        2:1       0,*1,0 (8150)
   184        2:1        2:1       0,*1,0 (8943)
   185        2:1        1:2   +   *0.4,0.4,0.2 (12373)
   186        2:1        2:1       0.1,*0.9,0 (18216)
   187        2:1        2:1       0,*1,0 (15519)
   188        2:1        2:1       0.2,*0.6,0.2 (12727)
   189        2:1        2:1       0.1,*0.8,0.1 (13895)
   190        2:1        2:1       0.1,*0.8,0.1 (15084)
   191        2:1        1:2   +   *0.5,0.5,0 (10563)
   192        2:1        2:1       0,*1,0 (6502)
   193        2:1        2:1       0,*0.9,0.1 (11993)
   194        2:1        1:2   +   *0.6,0.4,0 (12618)
   195        2:1        2:1       0,*0.9,0.1 (20013)
   196        2:1        2:1       0,*1,0 (273)
   197        2:1        2:1       0,*1,0 (17209)
   198        2:1        2:1       0,*1,0 (19586)
   199        2:1        2:1       0,*1,0 (9064)
   200        2:1        2:1       0.3,*0.6,0.1 (15896)
   201        2:1        2:1       0,*0.9,0.1 (16061)
   202        2:1        2:1       0,*0.9,0.1 (12107)
   203        2:1        2:1       0.1,*0.8,0.1 (15169)
   204        2:1        2:1       0,*1,0 (13437)
   205        2:1        2:1       0.4,*0.5,0.1 (3637)
   206        2:1        2:1       0,*1,0 (9362)
   207        2:1        1:2   +   *0.6,0.3,0.1 (10676)
