2225	2541
3535	3404
2065	81
1558	3154
4577	2672
94	1811
2202	3838
180	2758
3900	652
3133	4468
4394	485
3062	4377
1238	402
2284	4467
2675	3159
4206	1674
3491	2091
934	212
2775	4033
2903	886
2450	738
3559	280
4130	184
3513	1297
916	3059
146	2613
916	2918
2702	1348
3731	3899
4131	909
717	4334
2679	943
4090	2996
287	2564
33	1085
4280	4149
922	1012
2211	2758
381	420
1896	2976
4556	4315
367	2096
2296	280
11	1278
1683	207
2261	1818
3872	3993
4162	777
3523	384
263	3788
2734	3788
3330	3751
2883	2278
3221	3325
4511	901
4595	2519
1035	4563
4423	1090
1903	1721
1253	2812
4164	1927
736	4388
38	1432
1905	3639
2785	2749
3513	909
377	4577
3666	320
1359	2686
4555	1267
2463	3089
4420	485
2441	3091
4611	1118
1274	4467
1649	476
2911	4497
707	2321
4482	1003
1222	2251
1955	1243
3177	128
4030	2969
113	2382
3919	4132
3259	2175
2485	1723
2902	2549
1409	1794
1883	1818
3979	3269
771	3048
138	1499
4541	1910
2445	1297
3171	297
2396	1502
3256	2764
1262	583
2027	2466
712	207
1017	662
4472	1610
1727	1700
3346	351
2758	969
2143	1046
4269	4294
1413	4106
145	1431
1971	1432
4527	2317
4494	2374
3913	4383
448	2849
678	601
736	324
1512	4387
3610	466
2080	210
730	2918
254	1818
631	4082
3631	3982
4366	969
2049	1811
3290	2538
3049	128
4138	3993
3273	3699
3124	3953
1318	1431
1587	134
701	2564
631	2533
3783	1616
3804	943
3638	2450
1698	2708
651	2466
952	259
2981	3993
1807	1691
188	1818
456	4383
2779	3842
1607	943
456	2109
3196	3569
3054	3159
546	970
1535	476
1510	1818
4359	3159
1263	3721
784	1610
316	2866
482	3017
869	2087
2051	2812
4518	334
3647	946
1408	1610
3343	402
3049	909
358	3472
662	1721
3998	476
263	2686
2562	3472
1279	3366
3466	3730
170	4468
1183	3388
4583	233
1464	2828
134	174
203	348
733	1172
696	3101
1264	2046
2868	184
1791	2332
4529	210
1174	3061
285	4334
1378	2979
266	4334
4206	4468
2992	1085
1220	3555
1641	146
2242	1818
2716	2803
1420	2235
3040	2134
2980	3486
865	3492
3747	2613
1650	4647
2746	124
4492	3101
3414	1319
2408	599
1791	2557
2888	4315
1356	3821
1093	2903
1564	1828
4281	3483
33	4334
50	4647
4394	500
2838	1811
4353	1721
3740	3982
4496	943
658	906
4575	3212
3318	1025
4422	1818
1871	2101
2314	1499
1697	3061
2541	2787
1859	3993
856	212
428	1624
815	943
4233	253
3963	702
1096	4457
37	1003
817	4309
2869	4389
2188	3993
3375	3639
3645	2060
517	3498
361	3017
3283	629
4332	98
1291	354
3013	2091
387	1691
3979	1497
1319	4106
3457	2290
4453	289
223	373
664	2812
1564	4258
3120	4339
2541	1811
4640	1945
2825	1818
3707	3388
2603	3681
1102	354
2895	4326
595	4497
2002	2071
2779	3366
647	3958
1428	4642
2500	1811
3502	184
3311	2846
1154	1432
2160	431
3317	494
1305	3689
3401	2340
532	3555
3013	3483
3331	1991
2192	4320
3649	3649
1515	3028
3772	4228
2645	3855
4324	207
4070	2721
361	3061
3165	1385
2785	2493
45	1957
1892	3713
4177	4603
1947	4571
947	2159
4496	184
94	210
3495	4149
1125	476
3299	191
4030	282
2084	1806
1729	3993
450	1090
2949	476
4424	4052
4467	238
2249	210
2192	191
3847	1315
1746	476
102	943
780	2159
4539	1090
384	412
3740	943
4277	1691
2954	382
920	2076
